id,team_name,odds_api_name
6,Alabama State,Alabama St Hornets
8,Alcorn State,Alcorn St Braves
10,Appalachian State,Appalachian St Mountaineers
11,Arizona State,Arizona St Sun Devils
14,Arkansas State,Arkansas St Red Wolves
147,Little Rock,Arkansas-Little Rock Trojans
16,Army,Army Knights
27,Boston University,Boston Univ. Terriers
28,Bowling Green State,Bowling Green Falcons
37,Cal State Bakersfield,CSU Bakersfield Roadrunners
38,Cal State Fullerton,CSU Fullerton Titans
39,Cal State Northridge,CSU Northridge Matadors
40,California Baptist,Cal Baptist Lancers
45,Central Connecticut State,Central Connecticut St Blue Devils
57,College of Charleston,Charleston Cougars
51,Chicago State,Chicago St Cougars
54,Cleveland State,Cleveland St Vikings
59,Colorado State,Colorado St Rams
62,Coppin State,Coppin St Eagles
68,Delaware,Delaware Blue Hens
78,East Tennessee State,East Tennessee St Buccaneers
91,Florida International,Florida Int'l Golden Panthers
92,Florida State,Florida St Seminoles
244,Purdue-Fort Wayne,Fort Wayne Mastodons
96,Gardner-Webb,Gardner-Webb Bulldogs
105,Grambling,Grambling St Tigers
129,Jackson State,Jackson St Tigers
131,Jacksonville State,Jacksonville St Gamecocks
135,Kansas State,Kansas St Wildcats
136,Kennesaw State,Kennesaw St Owls
148,Long Beach State,Long Beach State Dirtbags
156,Loyola (IL),Loyola (Chi) Ramblers
169,McNeese State,McNeese Cowboys
173,Miami (FL),Miami Hurricanes
175,Michigan State,Michigan St Spartans
182,Mississippi Valley State,Miss Valley St Delta Devils
181,Mississippi State,Mississippi St Bulldogs
183,Missouri State,Missouri St Bears
187,Montana State,Montana St Bobcats
188,Morehead State,Morehead St Eagles
190,Mount St. Mary's,Mt. St. Mary's Mountaineers
199,New Mexico State,New Mexico St Aggies
202,Nicholls State,Nicholls St Colonels
204,Norfolk State,Norfolk St Spartans
210,North Dakota State,North Dakota St Bison
219,Northwestern State,Northwestern St Demons
226,Oklahoma State,Oklahoma St Cowboys
231,Oregon State,Oregon St Beavers
238,Portland State,Portland St Vikings
254,Sacramento State,Sacramento St Hornets
261,Sam Houston State,Sam Houston St Bearkats
263,San Diego State,San Diego St Aztecs
266,San Jose State,San José St Spartans
273,South Carolina State,South Carolina St Bulldogs
276,South Dakota State,South Dakota St Jackrabbits
256,Saint Francis (PA),St. Francis (PA) Red Flash
289,St. John's (NY),St. John's Red Storm
290,St. Thomas,St. Thomas (MN) Tommies
303,Tennessee-Martin,Tenn-Martin Skyhawks
300,Tennessee State,Tennessee St Tigers
306,Texas A&M-Corpus Christi,Texas A&M-CC Islanders
154,Louisiana-Monroe,UL Monroe Warhawks
311,Texas-Rio Grande Valley,UT Rio Grande Valley Vaqueros
346,Washington State,Washington St Cougars
353,Wichita State,Wichita St Shockers
358,Wright State,Wright St Raiders
362,Youngstown State,Youngstown St Penguins
69,Delaware State,Delaware St Hornets
102,Georgia State,Georgia St Panthers
215,Northern Colorado,N Colorado Bears
245,Queens (NC),Queens University Royals
114,Houston Christian,Houston Baptist Huskies
128,IU Indy,IUPUI Jaguars
278,Southeast Missouri State,SE Missouri St Redhawks
152,Louisiana State,LSU Tigers
279,Southeastern Louisiana,SE Louisiana Lions
305,East Texas A&M,Texas A&M-Commerce Lions
133,Kansas City,UMKC Kangaroos
