school,nickname,url,location,secondary_name,slug,primary_color,short_name,home_venue
Abilene Christian,Wildcats,/cbb/schools/abilene-christian/men/,"Abilene, Texas",,abilene-christian,#4B2E83,ACU,"Abilene, Texas"
Air Force,Falcons,/cbb/schools/air-force/men/,"USAF Academy, Colorado",,air-force,#003087,AF,"Colorado Springs, Colorado"
Akron,Zips,/cbb/schools/akron/men/,"Akron, Ohio",,akron,#041E42,Akron,"Akron, Ohio"
Alabama A&M,Bulldogs,/cbb/schools/alabama-am/men/,"Normal, Alabama",,alabama-a-m,#800000,AAMU,"Alabama A&M Events Center, Huntsville, Alabama"
Alabama,Crimson Tide,/cbb/schools/alabama/men/,"Tuscaloosa, Alabama",,alabama,#9E1B32,Bama,"Tuscaloosa, Alabama"
Alabama State,Hornets,/cbb/schools/alabama-state/men/,"Montgomery, Alabama",,alabama-state,#FDB913,ALST,"Montgomery, Alabama"
Albany (NY),Great Danes,/cbb/schools/albany-ny/men/,"Albany, New York",,albany-ny,#46166B,Albany,"Broadview Center, Albany, New York"
Alcorn State,Braves,/cbb/schools/alcorn-state/men/,"Alcorn State, Mississippi",,alcorn-state,#512D6D,Alcorn,"Alcorn State, Mississippi"
American,Eagles,/cbb/schools/american/men/,"Washington, D.C.",,american,#041E42,American,"Washington, District of Columbia"
Appalachian State,Mountaineers,/cbb/schools/appalachian-state/men/,"Boone, North Carolina",,appalachian-state,#222222,AppSt,"Boone, North Carolina"
Arizona State,Sun Devils,/cbb/schools/arizona-state/men/,"Tempe, Arizona",,arizona-state,#8C1D40,ASU,"Tempe, Arizona"
Arizona,Wildcats,/cbb/schools/arizona/men/,"Tucson, Arizona",,arizona,#CC0033,Arizona,"Tucson, Arizona"
Arkansas,Razorbacks,/cbb/schools/arkansas/men/,"Fayetteville, Arkansas",,arkansas,#9D2235,Ark,"Fayetteville, Arkansas"
Arkansas State,Red Wolves,/cbb/schools/arkansas-state/men/,"State University, Arkansas",,arkansas-state,#CC092F,ArkSt,"Jonesboro, Arkansas"
Arkansas-Pine Bluff,Golden Lions,/cbb/schools/arkansas-pine-bluff/men/,"Pine Bluff, Arkansas",,arkansas-pine-bluff,#FFC72C,UAPB,"Pine Bluff, Arkansas"
Army,Black Knights,/cbb/schools/army/men/,"West Point, New York",,army,#9D8B60,Army,"West Point, New York"
Auburn,Tigers,/cbb/schools/auburn/men/,"Auburn, Alabama",,auburn,#0C2340,Auburn,"Auburn, Alabama"
Austin Peay,Governors,/cbb/schools/austin-peay/men/,"Clarksville, Tennessee",,austin-peay,#A6192E,Peay,"F&M Bank Arena, Clarksville, Tennessee"
Ball State,Cardinals,/cbb/schools/ball-state/men/,"Muncie, Indiana",,ball-state,#D50032,BSU,"Muncie, Indiana"
Baylor,Bears,/cbb/schools/baylor/men/,"Waco, Texas",,baylor,#154734,Baylor,"Foster Pavilion, Waco, Texas"
Bellarmine,Knights,/cbb/schools/bellarmine/men/,"Louisville, Kentucky",,bellarmine,#6F263D,Bellarmine,"Knights Hall, Louisville, Kentucky"
Belmont,Bruins,/cbb/schools/belmont/men/,"Nashville, Tennessee",,belmont,#002D72,Belmont,"Nashville, Tennessee"
Bethune-Cookman,Wildcats,/cbb/schools/bethune-cookman/men/,"Daytona Beach, Florida",,bethune-cookman,#840029,BCU,"Daytona Beach, Florida"
Binghamton,Bearcats,/cbb/schools/binghamton/men/,"Binghamton, New York",,binghamton,#006B54,Bing,"Binghamton, New York"
Boise State,Broncos,/cbb/schools/boise-state/men/,"Boise, Idaho",,boise-state,#0033A0,BoiseSt,"Boise, Idaho"
Boston College,Eagles,/cbb/schools/boston-college/men/,"Chestnut Hill, Massachusetts",,boston-college,#8A100B,BC,"Boston, Massachusetts"
Boston University,Terriers,/cbb/schools/boston-university/men/,"Boston, Massachusetts",,boston-university,#CC0000,BU,"Boston, Massachusetts"
Bowling Green State,Falcons,/cbb/schools/bowling-green-state/men/,"Bowling Green, Ohio",,bowling-green-state,#FF6300,BGSU,"Bowling Green, Ohio"
Bradley,Braves,/cbb/schools/bradley/men/,"Peoria, Illinois",,bradley,#D11F3E,Bradley,"Peoria, Illinois"
Brigham Young,Cougars,/cbb/schools/brigham-young/men/,"Provo, Utah",BYU,brigham-young,#002E5D,BYU,"Provo, Utah"
Brown,Bears,/cbb/schools/brown/men/,"Providence, Rhode Island",,brown,#4E3629,Brown,"Providence, Rhode Island"
Bryant,Bulldogs,/cbb/schools/bryant/men/,"Smithfield, Rhode Island",,bryant,#84754E,Bryant,"Smithfield, Rhode Island"
Bucknell,Bison,/cbb/schools/bucknell/men/,"Lewisburg, Pennsylvania",,bucknell,#002F6C,Bucknell,"Lewisburg, Pennsylvania"
Buffalo,Bulls,/cbb/schools/buffalo/men/,"Buffalo, New York",,buffalo,#005BBB,UB,"Buffalo, New York"
Butler,Bulldogs,/cbb/schools/butler/men/,"Indianapolis, Indiana",,butler,#13294B,Butler,"Indianapolis, Indiana"
Cal Poly,Mustangs,/cbb/schools/cal-poly/men/,"San Luis Obispo, California",,cal-poly,#154734,CalPoly,"San Luis Obispo, California"
Cal State Bakersfield,Roadrunners,/cbb/schools/cal-state-bakersfield/men/,"Bakersfield, California",,cal-state-bakersfield,#0057B7,CSUB,"Bakersfield, California"
Cal State Fullerton,Titans,/cbb/schools/cal-state-fullerton/men/,"Fullerton, California",,cal-state-fullerton,#00274C,CSUF,"Fullerton, California"
Cal State Northridge,Matadors,/cbb/schools/cal-state-northridge/men/,"Northridge, California",,cal-state-northridge,#C8102E,CSUN,"Northridge, California"
California Baptist,Lancers,/cbb/schools/california-baptist/men/,"Riverside, California",,california-baptist,#00205B,CBU,"Riverside, California"
California,Golden Bears,/cbb/schools/california/men/,"Berkeley, California",,california,#003262,Cal,"Berkeley, California"
Campbell,Fighting Camels,/cbb/schools/campbell/men/,"Buies Creek, North Carolina",,campbell,#FF8200,Campbell,"Buies Creek, North Carolina"
Canisius,Golden Griffins,/cbb/schools/canisius/men/,"Buffalo, New York",,canisius,#002663,Canisius,"Buffalo, New York"
Central Arkansas,Bears,/cbb/schools/central-arkansas/men/,"Conway, Arkansas",,central-arkansas,#4F2C7E,UCA,"Conway, Arkansas"
